objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Twister","5894","3","","0","1","0","0","0","0","0","0","0","3","","","","","","27818314","4.7669","4.53721","1.0898","21174","7035","thing","Twister","2","4","10","10","10","1966","2,3,4","4","6–18","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Under Falling Skies","306735","0","","0","1","0","0","0","0","0","0","0","3","","","","","","85153137","7.15297","7.98222","2.4211","277","9197","thing","Under Falling Skies","1","1","40","40","20","2020","1","1","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","23.99","USD","","","2021-08-22","Miniature Market","","","","","Czech Games Edition","English","2020","English edition"
"Unlock!: Escape Adventures – Squeek & Sausage","216092","0","","0","1","0","0","0","0","0","0","0","3","","","","","","44508649","6.55582","7.18529","2.1333","956","4013","thing","Unlock!: Escape Adventures – Squeek & Sausage","1","6","75","75","45","2017","1,2,3,4","2,3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","15","USD","","","","The Guardtower","1","","","","","","",""
"Unlock!: Mystery Adventures – The House on the Hill","230303","0","","0","1","0","0","0","0","0","0","0","1","","","","","","55892580","6.33151","7.05513","1.7273","1384","3428","thing","Unlock!: Mystery Adventures – The House on the Hill","1","6","60","60","60","2017","1,2,3,4","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","6.99","USD","","","2018-08-29","GameStop","1","","","","","","",""
"Unlock!: Mystery Adventures – The Nautilus' Traps","230304","0","","0","1","0","0","0","0","0","0","0","1","","","","","","50799418","5.74272","5.95001","2.75","4369","3332","thing","Unlock!: Mystery Adventures – The Nautilus' Traps","1","6","60","60","60","2017","2,3,4","2,3","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","9.78","USD","","","","GameStop","1","","","","","","",""
"Unlock!: Mystery Adventures – The Tonipal's Treasure","230305","0","","0","1","0","0","0","0","0","0","0","1","","","","","","50799414","6.283","7.03921","2.5","1511","3516","thing","Unlock!: Mystery Adventures – The Tonipal's Treasure","1","6","60","60","60","2017","1,2,3,4","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","9.78","USD","","","","GameStop","1","","","","","","",""
"UNO","2223","6","","0","1","0","0","0","0","0","0","0","3","","","","","","27818257","5.3112","5.41086","1.1153","21076","41089","thing","UNO","2","10","30","30","30","1971","2,3,4,5,6,7,8","4,5,6","5+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Upwords","1515","0","","0","1","0","0","0","0","0","0","0","3","","","","","","27818423","5.62624","5.74429","1.6919","6401","6361","thing","Upwords","2","4","90","90","90","1982","2,3,4","2","8+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Utopia Engine","75223","0","","0","1","0","0","0","0","0","0","0","3","","","","","","28899334","5.88459","6.89033","2.0333","3113","1583","thing","Utopia Engine","1","1","60","60","30","2010","1","1","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Vikings Gone Wild","187377","0","","0","1","0","0","0","0","0","0","0","3","","","","","","74938371","6.546","7.19315","2.24","979","5700","thing","Vikings Gone Wild","2","4","90","90","45","2017","2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","24.99","USD","","","2020-09-24","Half Price Books","1","","","","","","",""
"Viticulture Essential Edition","183394","8.2","3","0","1","0","0","0","0","0","0","0","3","","","","","","57506214","7.90319","8.0701","2.8998","24","44196","thing","Viticulture Essential Edition","1","6","90","90","45","2015","1,2,3,4,5,6","3,4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","48","USD","","","2019-07-09","Miniature Market","1","with Folded Space insert","","","","","",""
"Vs System 2PCG: A-Force","194532","0","","0","1","0","0","0","0","0","0","0","3","","","","","","53789925","5.5704","7.65385","2","8711","401","thing","Vs System 2PCG: A-Force","2","2","30","30","30","2016","2","2","","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","14.99","USD","","","","Half Price Books","1","","","","","","",""
"Vs System 2PCG: The Alien Battles","200672","0","","0","1","0","0","0","0","0","0","0","3","","","","","","58657202","5.56026","7.18836","2","9384","406","thing","Vs System 2PCG: The Alien Battles","2","2","30","30","30","2016","2","2","16+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","1","USD","","","2019-01-22","The Game Preserve","1","","","","","","",""
"Vs System 2PCG: The Defenders","189610","0","","0","1","0","0","0","0","0","0","0","3","","","","","","53789935","5.5718","7.55","2","8639","463","thing","Vs System 2PCG: The Defenders","2","4","60","60","20","2016","2,3,4","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","14.99","USD","","","","Half Price Books","1","","","","","","",""
"Vs System 2PCG: The Marvel Battles","178892","0","","0","1","0","0","0","0","0","0","0","3","","","","","","45661179","5.81543","6.95324","2.3704","3640","1508","thing","Vs System 2PCG: The Marvel Battles","2","2","30","30","30","2015","2","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","13.5","USD","","","2017-09-20","Miniature Market","1","","","","","","",""
"War Chest","249259","0","","0","1","0","0","0","0","0","0","0","3","","","","","","65115235","7.261","7.95827","2.3063","212","7593","thing","War Chest","2","4","30","30","30","2018","2,4","2","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","24.99","USD","","","2018-11-20","Half Price Books","1","","","","","","",""
"Wavelength","262543","7.8","","0","1","0","0","0","0","0","0","0","4","","","","","","68056768","6.97184","7.48227","1.1325","424","9405","thing","Wavelength","2","12","45","45","30","2019","4,5,6,7,8,9,10,11,12","6,8","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","29.99","USD","","","2020-07-20","Amazon","1","","","","","","",""
"Welcome to the Dungeon","150312","7","","0","1","0","0","0","0","0","0","0","1","","","","","","39226628","6.44267","6.58706","1.2284","1165","21515","thing","Welcome to the Dungeon","2","4","30","30","30","2013","2,3,4","3","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"The Werewolves of Miller's Hollow","25821","0","","0","1","0","0","0","0","0","0","0","1","","","","","","43388743","6.49341","6.7292","1.3176","1079","17015","thing","The Werewolves of Miller's Hollow","8","18","30","30","30","2001","8,9,10,11,12,13,14,15,16,17,18","11,12,13,14,15","10+","No necessary in-game text","","","","","","standalone","","","","","","2017-06-17","Origins","1","Free gift while playing MoM2ndEd at Origins 2017","","","","","",""
"Why First?","171672","0","","0","1","0","0","0","0","0","0","0","3","","","","","","50661321","5.74777","6.14084","1.1515","4304","1661","thing","Why First?","2","6","25","25","15","2015","3,4,5,6","4","8+","No necessary in-game text","","","","","","standalone","","9.75","USD","","","","Amazon","1","","","","","","",""
"Wildlands","244654","0","","0","1","0","0","0","0","0","0","0","4","","","","","","60709649","6.58378","7.30251","2.1127","912","4094","thing","Wildlands","2","4","60","60","30","2018","2,3,4","4","10+","No necessary in-game text","","","","","","standalone","","44.07","USD","","","2019-06-23","Amazon","1","","","","","","",""
"Wits & Wagers","20100","8","","0","1","0","0","0","0","0","0","0","3","","","","","","38471303","6.764","6.93241","1.2125","648","18799","thing","Wits & Wagers","3","7","25","25","25","2005","4,5,6,7","6,7","8+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Wizard","1465","7.5","7","0","1","0","0","0","0","0","0","0","3","","","","","","48102381","6.67664","6.93235","1.7306","786","14850","thing","Wizard","3","6","45","45","45","1984","3,4,5,6","4,5","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Wordthief","2412","0","","0","1","0","0","0","0","0","0","0","3","","","","","","27818419","5.5622","6.0921","1.8571","9252","652","thing","Wordthief","2","4","45","45","45","1994","2,3,4","","10+","","","","","","","standalone","","","","","","","","","","","","","","",""
"World Championship Russian Roulette","179245","0","","0","1","0","0","0","0","0","0","0","3","","","","","","43388702","5.93787","6.92909","1.3333","2807","1296","thing","World Championship Russian Roulette","2","6","30","30","20","2017","3,4,5,6","4,5,6","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","25","USD","","","2017-06-21","Amazon","1","Pierce's game","","","","","",""
"Zombicide: Black Plague","176189","0","","0","1","0","0","0","0","0","0","0","3","","","","","","34219156","7.30815","7.67579","2.5145","184","22720","thing","Zombicide: Black Plague","1","6","180","180","60","2015","1,2,3,4,5,6","3","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","41.99","USD","","","","Amazon","1","","","","","","",""
"Zombie Dice","62871","7","","0","1","0","0","0","0","0","0","0","3","","","","","","27818290","6.08633","6.21958","1.0995","2134","31422","thing","Zombie Dice","2","99","20","20","10","2010","2,3,4,5,6,7,8","4,5","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Zombie Dice 2: Double Feature","110279","7","","0","1","0","0","0","0","0","0","0","3","","","","","","27818292","6.12745","6.60369","1.134","0","7569","thing","Zombie Dice 2: Double Feature","2","99","20","20","10","2012","2,3,4,5,6,7,8","4,5","8+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Zombie Dice 3: School Bus","155148","0","","0","1","0","0","0","0","0","0","0","3","","","","","","65460697","5.95722","6.67953","1.1951","0","4061","thing","Zombie Dice 3: School Bus","2","99","20","20","10","2014","2,3,4,5,6,7,8","4","8+","No necessary in-game text","","","","","","expansion","","4.49","USD","","","2019-10-28","Half Price Books","1","","","","","","",""
"Zombie Fluxx","29387","6","","0","1","0","0","0","0","0","0","0","3","","","","","","27818258","5.80973","5.9924","1.4358","3684","12775","thing","Zombie Fluxx","2","6","40","40","10","2007","2,3,4,5,6","4","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
