objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Twilight Struggle","12333","0","","0","1","0","0","0","0","0","0","0","3","","","","","","31211393","0","0","3.5905","0","59195","thing","Twilight Struggle","2","2","180","180","120","2005","2","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Twister","5894","3","","0","1","0","0","0","0","0","0","0","3","","","","","","27818314","0","0","1.0887","0","7256","thing","Twister","2","4","10","10","10","1966","2,3,4","4","5–18","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Under Falling Skies","306735","0","","0","1","0","0","0","0","0","0","0","3","","","","","","85153137","0","0","2.4017","0","11198","thing","Under Falling Skies","1","1","40","40","20","2020","1","1","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","23.99","USD","","","2021-08-22","Miniature Market","","","","","Czech Games Edition","English","2020","English edition"
"Unlock!: Escape Adventures – Squeek & Sausage","216092","0","","0","1","0","0","0","0","0","0","0","3","","","","","","44508649","0","0","2.1333","0","4068","thing","Unlock!: Escape Adventures – Squeek & Sausage","1","6","75","75","45","2017","1,2,3,4","2,3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","15","USD","","","","The Guardtower","1","","","","","","",""
"Unlock!: Mystery Adventures – The House on the Hill","230303","0","","0","1","0","0","0","0","0","0","0","1","","","","","","55892580","0","0","1.7273","0","3441","thing","Unlock!: Mystery Adventures – The House on the Hill","1","6","60","60","60","2017","1,2,3,4","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","6.99","USD","","","2018-08-29","GameStop","1","","","","","","",""
"Unlock!: Mystery Adventures – The Nautilus' Traps","230304","0","","0","1","0","0","0","0","0","0","0","1","","","","","","50799418","0","0","2.8","0","3357","thing","Unlock!: Mystery Adventures – The Nautilus' Traps","1","6","60","60","60","2017","2,3,4","2,3","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","9.78","USD","","","","GameStop","1","","","","","","",""
"Unlock!: Mystery Adventures – The Tonipal's Treasure","230305","0","","0","1","0","0","0","0","0","0","0","1","","","","","","50799414","0","0","2.5","0","3553","thing","Unlock!: Mystery Adventures – The Tonipal's Treasure","1","6","60","60","60","2017","1,2,3,4","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","9.78","USD","","","","GameStop","1","","","","","","",""
"Unlock!: Secret Adventures – The Adventurers of Oz","245354","0","","0","1","0","0","0","0","0","0","0","3","","","","","","86974584","0","0","2.875","0","2189","thing","Unlock!: Secret Adventures – The Adventurers of Oz","1","6","60","60","60","2018","1,2,3,4","","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","7.49","USD","","","2021-10-21","Half Price Books","","","","","","","",""
"UNO","2223","6","","0","1","0","0","0","0","0","0","0","3","","","","","","27818257","0","0","1.115","0","42403","thing","UNO","2","10","30","30","30","1971","2,3,4,5,6,7,8","4,5,6","5+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Upwords","1515","0","","0","1","0","0","0","0","0","0","0","3","","","","","","27818423","0","0","1.6934","0","6481","thing","Upwords","2","4","90","90","90","1982","2,3,4","2","8+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Utopia Engine","75223","0","","0","1","0","0","0","0","0","0","0","3","","","","","","28899334","0","0","2.0333","0","1614","thing","Utopia Engine","1","1","60","60","30","2010","1","1","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Vikings Gone Wild","187377","0","","0","1","0","0","0","0","0","0","0","3","","","","","","74938371","0","0","2.24","0","5789","thing","Vikings Gone Wild","2","4","90","90","45","2017","2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","24.99","USD","","","2020-09-24","Half Price Books","1","","","","","","",""
"Viticulture Essential Edition","183394","8.2","3","0","1","0","0","0","0","0","0","0","3","","","","","","57506214","0","0","2.893","0","46369","thing","Viticulture Essential Edition","1","6","90","90","45","2015","1,2,3,4,5,6","3,4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","48","USD","","","2019-07-09","Miniature Market","1","with Folded Space insert","","","","","",""
"Vs System 2PCG: A-Force","194532","0","","0","1","0","0","0","0","0","0","0","3","","","","","","53789925","0","0","2","0","405","thing","Vs System 2PCG: A-Force","2","2","30","30","30","2016","2","2","","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","14.99","USD","","","","Half Price Books","1","","","","","","",""
"Vs System 2PCG: The Alien Battles","200672","0","","0","1","0","0","0","0","0","0","0","3","","","","","","58657202","0","0","2","0","409","thing","Vs System 2PCG: The Alien Battles","2","2","30","30","30","2016","2","2","16+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","1","USD","","","2019-01-22","The Game Preserve","1","","","","","","",""
"Vs System 2PCG: The Defenders","189610","0","","0","1","0","0","0","0","0","0","0","3","","","","","","53789935","0","0","2","0","465","thing","Vs System 2PCG: The Defenders","2","4","60","60","20","2016","2,3,4","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","14.99","USD","","","","Half Price Books","1","","","","","","",""
"Vs System 2PCG: The Marvel Battles","178892","0","","0","1","0","0","0","0","0","0","0","3","","","","","","45661179","0","0","2.3704","0","1516","thing","Vs System 2PCG: The Marvel Battles","2","2","30","30","30","2015","2","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","13.5","USD","","","2017-09-20","Miniature Market","1","","","","","","",""
"War Chest","249259","0","","0","1","0","0","0","0","0","0","0","3","","","","","","65115235","0","0","2.3145","0","8304","thing","War Chest","2","4","30","30","30","2018","2,4","2","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","24.99","USD","","","2018-11-20","Half Price Books","1","","","","","","",""
"Wavelength","262543","7.8","","0","1","0","0","0","0","0","0","0","4","","","","","","68056768","0","0","1.129","0","10624","thing","Wavelength","2","12","45","45","30","2019","4,5,6,7,8,9,10,11,12","6,8","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","29.99","USD","","","2020-07-20","Amazon","1","","","","","","",""
"Welcome to the Dungeon","150312","7","","0","1","0","0","0","0","0","0","0","1","","","","","","39226628","0","0","1.2324","0","21858","thing","Welcome to the Dungeon","2","4","30","30","30","2013","2,3,4","3","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"The Werewolves of Miller's Hollow","25821","0","","0","1","0","0","0","0","0","0","0","1","","","","","","43388743","0","0","1.3166","0","17405","thing","The Werewolves of Miller's Hollow","8","18","30","30","30","2001","8,9,10,11,12,13,14,15,16,17,18","11,12,13,14,15","10+","No necessary in-game text","","","","","","standalone","","","","","","2017-06-17","Origins","1","Free gift while playing MoM2ndEd at Origins 2017","","","","","",""
"Why First?","171672","0","","0","1","0","0","0","0","0","0","0","3","","","","","","50661321","0","0","1.1471","0","1688","thing","Why First?","2","6","25","25","15","2015","3,4,5,6","4","8+","No necessary in-game text","","","","","","standalone","","9.75","USD","","","","Amazon","1","","","","","","",""
"Wildlands","244654","0","","0","1","0","0","0","0","0","0","0","4","","","","","","60709649","0","0","2.1233","0","4208","thing","Wildlands","2","4","60","60","30","2018","2,3,4","4","10+","No necessary in-game text","","","","","","standalone","","44.07","USD","","","2019-06-23","Amazon","1","","","","","","",""
"Wits & Wagers","20100","8","","0","1","0","0","0","0","0","0","0","3","","","","","","38471303","0","0","1.2107","0","18980","thing","Wits & Wagers","3","7","25","25","25","2005","4,5,6,7","6,7","8+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Wizard","1465","7.5","7","0","1","0","0","0","0","0","0","0","3","","","","","","48102381","0","0","1.7299","0","15250","thing","Wizard","3","6","45","45","45","1984","3,4,5,6","4,5","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Wordthief","2412","0","","0","1","0","0","0","0","0","0","0","3","","","","","","27818419","0","0","1.8571","0","659","thing","Wordthief","2","4","45","45","45","1994","2,3,4","","10+","","","","","","","standalone","","","","","","","","","","","","","","",""
"World Championship Russian Roulette","179245","0","","0","1","0","0","0","0","0","0","0","3","","","","","","43388702","0","0","1.3333","0","1323","thing","World Championship Russian Roulette","2","6","30","30","20","2017","3,4,5,6","4,5,6","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","25","USD","","","2017-06-21","Amazon","1","Pierce's game","","","","","",""
"Zombicide: Black Plague","176189","0","","0","1","0","0","0","0","0","0","0","3","","","","","","34219156","0","0","2.5094","0","23217","thing","Zombicide: Black Plague","1","6","180","180","60","2015","1,2,3,4,5,6","3","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","41.99","USD","","","","Amazon","1","","","","","","",""
"Zombie Dice","62871","7","","0","1","0","0","0","0","0","0","0","3","","","","","","27818290","0","0","1.0994","0","31805","thing","Zombie Dice","2","99","20","20","10","2010","2,3,4,5,6,7,8","4,5","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Zombie Dice 2: Double Feature","110279","7","","0","1","0","0","0","0","0","0","0","3","","","","","","27818292","0","0","1.134","0","7644","thing","Zombie Dice 2: Double Feature","2","99","20","20","10","2012","2,3,4,5,6,7,8","4,5","8+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Zombie Dice 3: School Bus","155148","0","","0","1","0","0","0","0","0","0","0","3","","","","","","65460697","0","0","1.1951","0","4123","thing","Zombie Dice 3: School Bus","2","99","20","20","10","2014","2,3,4,5,6,7,8","4","8+","No necessary in-game text","","","","","","expansion","","4.49","USD","","","2019-10-28","Half Price Books","1","","","","","","",""
"Zombie Fluxx","29387","6","","0","1","0","0","0","0","0","0","0","3","","","","","","27818258","0","0","1.4401","0","12912","thing","Zombie Fluxx","2","6","40","40","10","2007","2,3,4,5,6","4","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
