objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Smart Ass","27389","6","","0","1","0","0","0","0","0","0","0","3","","","","","","27818318","0","0","1.3214","0","3146","thing","Smart Ass","2","8","30","30","30","2006","3,4,5,6,7,8","4,5,6","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Sorry! Sliders","37196","0","","0","1","0","0","0","0","0","0","0","3","","","","","","27818413","0","0","1.0623","0","5527","thing","Sorry! Sliders","1","4","30","30","30","2008","2,3,4","4","5+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Sour Apples to Apples","104234","4.5","","0","1","0","0","0","0","0","0","0","3","","","","","","27818285","0","0","1.1429","0","752","thing","Sour Apples to Apples","4","8","30","30","30","2011","4,5,6,7,8","6,7","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Space Base","242302","7.1","7","0","1","0","0","0","0","0","0","0","3","","","","","","59985223","0","0","2.127","0","16715","thing","Space Base","2","5","60","60","60","2018","2,3,4,5","3,4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","28.79","USD","","","2019-03-15","Miniature Market","1","","","","","","",""
"Specter Ops","155624","0","","0","1","0","0","0","0","0","0","0","4","","","","","","29151657","0","0","2.3837","0","9104","thing","Specter Ops","2","5","120","120","60","2015","2,3,4,5","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Spirits of the Wild","256606","6.3","2","0","1","0","0","0","0","0","0","0","3","","","","","","53295513","0","0","1.2885","0","4032","thing","Spirits of the Wild","2","2","30","30","15","2018","2","2","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","14.99","USD","","","","Amazon","1","","","","","","",""
"Splendor","148228","7.5","14","0","1","0","0","0","0","0","0","0","2","","","","","","28255459","0","0","1.7954","0","90877","thing","Splendor","2","4","30","30","30","2014","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","28.85","USD","","","2015-06-13","Amazon","1","","","","","","",""
"Spot it!","63268","0","","0","1","0","0","0","0","0","0","0","1","","","","","","27818474","0","0","1.0289","0","27375","thing","Spot it!","2","8","15","15","15","2009","2,3,4,5,6,7","4,5","4+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Star Fluxx","102104","0","","0","1","0","0","0","0","0","0","0","3","","","","","","37567517","0","0","1.4341","0","11881","thing","Star Fluxx","2","6","40","40","10","2011","2,3,4,5","4","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Star Realms","147020","7","","0","1","0","0","0","0","0","0","0","1","","","","","","35825720","0","0","1.9396","0","55894","thing","Star Realms","2","2","20","20","20","2014","2","2","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Star Realms: Crisis – Bases & Battleships","166702","0","","0","1","0","0","0","0","0","0","0","1","","","","","","42541920","0","0","2","0","8919","thing","Star Realms: Crisis – Bases & Battleships","2","6","20","0","20","2014","2,3,4","2","10+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
